DATE,CRSPLCV1,CRSPLCVT
20160225,1333.87,1460.17
20160226,1330.94,1457.12
20160229,1320.05,1445.32
20160301,1348.06,1476.00
20160302,1358.50,1487.91
20160303,1365.17,1495.31
20160304,1370.73,1501.41
20160307,1375.80,1507.07
20160308,1359.52,1489.52
20160309,1367.03,1498.15
20160310,1366.55,1497.68
20160311,1388.07,1521.76
20160314,1384.09,1517.40
20160315,1380.30,1513.30
20160316,1386.67,1520.34
20160317,1398.18,1532.98
20160318,1404.71,1540.15
20160321,1405.38,1540.89
20160322,1403.14,1538.48
20160323,1393.62,1528.04
20160324,1392.55,1526.87
20160328,1393.12,1527.49
20160329,1401.21,1536.90
20160330,1407.24,1543.69
20160331,1404.11,1540.25
20160401,1410.54,1547.32
20160404,1404.81,1541.55
20160405,1390.52,1525.86
20160406,1402.26,1539.67
20160407,1385.66,1521.51
20160408,1391.07,1527.45
20160411,1389.28,1525.49
20160412,1403.73,1541.37
20160413,1419.21,1558.47
20160414,1419.96,1559.58
20160415,1418.50,1557.98
20160418,1428.61,1569.10
20160419,1439.19,1580.72
20160420,1441.64,1583.52
20160421,1431.72,1572.69
20160422,1435.38,1576.71
20160425,1431.55,1572.50
20160426,1436.86,1578.34
20160427,1445.24,1587.74
20160428,1431.73,1573.00
20160429,1423.39,1563.87
20160502,1432.87,1574.29
20160503,1419.03,1559.11
20160504,1408.52,1548.17
20160505,1407.69,1547.36
20160506,1411.23,1551.55
20160509,1408.25,1548.30
20160510,1426.03,1567.87
20160511,1415.58,1557.76
20160512,1416.39,1558.79
20160513,1402.34,1543.34
20160516,1415.31,1557.84
20160517,1403.34,1545.54
20160518,1404.40,1546.96
20160519,1400.54,1542.73
20160520,1407.30,1550.62
20160523,1403.26,1546.21
20160524,1419.93,1564.61
20160525,1432.61,1578.68
20160526,1430.24,1576.36
20160527,1436.32,1583.38
20160531,1435.03,1581.97
20160601,1437.23,1584.83
20160602,1441.57,1589.68
20160603,1436.76,1584.38
20160606,1446.31,1594.97
20160607,1449.39,1598.40
20160608,1454.26,1604.23
20160609,1450.86,1600.55
20160610,1439.16,1587.68
20160613,1426.52,1574.17
20160614,1422.15,1569.42
20160615,1419.42,1566.52
20160616,1425.40,1573.52
20160617,1424.89,1572.96
20160620,1432.52,1581.42
20160621,1438.04,1587.51
20160622,1435.89,1585.16
20160623,1456.78,1608.24
20160624,1403.39,1549.30
20160627,1377.06,1520.23
20160628,1399.16,1545.19
20160629,1424.33,1573.21
20160630,1447.62,1598.93
20160701,1447.97,1599.67
20160705,1434.92,1585.46
20160706,1442.54,1594.74
20160707,1439.09,1591.01
20160708,1460.73,1614.93
20160711,1465.33,1620.02
20160712,1477.25,1633.21
20160713,1480.23,1636.57
20160714,1488.16,1645.39
20160715,1487.65,1644.83
20160718,1489.41,1646.84
20160719,1487.47,1644.78
20160720,1492.88,1651.07
20160721,1487.76,1645.45
20160722,1495.16,1653.64
20160725,1489.22,1647.09
20160726,1491.10,1649.27
20160727,1485.07,1642.71
20160728,1484.50,1642.24
20160729,1486.63,1644.62
20160801,1479.85,1637.13
20160802,1471.70,1628.13
20160803,1477.22,1635.13
20160804,1477.05,1635.17
20160805,1492.44,1652.21
20160808,1492.98,1653.08
20160809,1492.47,1652.58
20160810,1486.63,1647.14
20160811,1494.02,1655.68
20160812,1492.14,1653.66
20160815,1496.49,1658.64
20160816,1489.04,1650.89
20160817,1492.75,1655.50
20160818,1497.50,1660.82
20160819,1493.75,1657.09
20160822,1492.32,1655.54
